Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000228,Barnet 007A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,347
E01000228,Barnet 007A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000228,Barnet 007A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,33
E01000228,Barnet 007A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,80
E01000228,Barnet 007A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,95
E01000228,Barnet 007A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,28
E01000228,Barnet 007A,8,Economically active and a full-time student: In employment: Employee: Part-time,5
E01000228,Barnet 007A,9,Economically active and a full-time student: In employment: Employee: Full-time,4
E01000228,Barnet 007A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000228,Barnet 007A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000228,Barnet 007A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000228,Barnet 007A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000228,Barnet 007A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000228,Barnet 007A,15,Economically inactive: Retired,151
E01000228,Barnet 007A,16,Economically inactive: Student,100
E01000228,Barnet 007A,17,Economically inactive: Looking after home or family,66
E01000228,Barnet 007A,18,Economically inactive: Long-term sick or disabled,31
E01000228,Barnet 007A,19,Economically inactive: Other,52
E01000229,Barnet 013B,-8,Does not apply,380
E01000229,Barnet 013B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,158
E01000229,Barnet 013B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,416
E01000229,Barnet 013B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000229,Barnet 013B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,16
E01000229,Barnet 013B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,64
E01000229,Barnet 013B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,103
E01000229,Barnet 013B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,43
E01000229,Barnet 013B,8,Economically active and a full-time student: In employment: Employee: Part-time,10
E01000229,Barnet 013B,9,Economically active and a full-time student: In employment: Employee: Full-time,4
E01000229,Barnet 013B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000229,Barnet 013B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000229,Barnet 013B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000229,Barnet 013B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000229,Barnet 013B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000229,Barnet 013B,15,Economically inactive: Retired,188
E01000229,Barnet 013B,16,Economically inactive: Student,81
E01000229,Barnet 013B,17,Economically inactive: Looking after home or family,75
E01000229,Barnet 013B,18,Economically inactive: Long-term sick or disabled,62
E01000229,Barnet 013B,19,Economically inactive: Other,52
E01000230,Barnet 013C,-8,Does not apply,527
E01000230,Barnet 013C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,219
E01000230,Barnet 013C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,390
E01000230,Barnet 013C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000230,Barnet 013C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,23
E01000230,Barnet 013C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,95
E01000230,Barnet 013C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,83
E01000230,Barnet 013C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,41
E01000230,Barnet 013C,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000230,Barnet 013C,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000230,Barnet 013C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000230,Barnet 013C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000230,Barnet 013C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000230,Barnet 013C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000230,Barnet 013C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E01000230,Barnet 013C,15,Economically inactive: Retired,334
E01000230,Barnet 013C,16,Economically inactive: Student,79
E01000230,Barnet 013C,17,Economically inactive: Looking after home or family,71
E01000230,Barnet 013C,18,Economically inactive: Long-term sick or disabled,31
E01000230,Barnet 013C,19,Economically inactive: Other,48
E01000231,Barnet 013D,-8,Does not apply,385
E01000231,Barnet 013D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,169
E01000231,Barnet 013D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,463
E01000231,Barnet 013D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000231,Barnet 013D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,33
E01000231,Barnet 013D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,80
E01000231,Barnet 013D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,88
E01000231,Barnet 013D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,48
E01000231,Barnet 013D,8,Economically active and a full-time student: In employment: Employee: Part-time,27
E01000231,Barnet 013D,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000231,Barnet 013D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000231,Barnet 013D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000231,Barnet 013D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000231,Barnet 013D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,5
E01000231,Barnet 013D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1
E01000231,Barnet 013D,15,Economically inactive: Retired,184
E01000231,Barnet 013D,16,Economically inactive: Student,108
E01000231,Barnet 013D,17,Economically inactive: Looking after home or family,84
E01000231,Barnet 013D,18,Economically inactive: Long-term sick or disabled,44
E01000231,Barnet 013D,19,Economically inactive: Other,54
E01000232,Barnet 013E,-8,Does not apply,384
E01000232,Barnet 013E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,148
E01000232,Barnet 013E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,466
E01000232,Barnet 013E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000232,Barnet 013E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,31
E01000232,Barnet 013E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,100
E01000232,Barnet 013E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,94
E01000232,Barnet 013E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,32
E01000232,Barnet 013E,8,Economically active and a full-time student: In employment: Employee: Part-time,10
E01000232,Barnet 013E,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000232,Barnet 013E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000232,Barnet 013E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000232,Barnet 013E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000232,Barnet 013E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000232,Barnet 013E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10
E01000232,Barnet 013E,15,Economically inactive: Retired,293
E01000232,Barnet 013E,16,Economically inactive: Student,79
E01000232,Barnet 013E,17,Economically inactive: Looking after home or family,87
E01000232,Barnet 013E,18,Economically inactive: Long-term sick or disabled,57
E01000232,Barnet 013E,19,Economically inactive: Other,58
E01000233,Barnet 013F,-8,Does not apply,418
E01000233,Barnet 013F,1,Economically active (excluding full-time students): In employment: Employee: Part-time,193
E01000233,Barnet 013F,2,Economically active (excluding full-time students): In employment: Employee: Full-time,524
E01000233,Barnet 013F,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000233,Barnet 013F,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,33
E01000233,Barnet 013F,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,110
E01000233,Barnet 013F,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,109
E01000233,Barnet 013F,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,46
E01000233,Barnet 013F,8,Economically active and a full-time student: In employment: Employee: Part-time,19
E01000233,Barnet 013F,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000233,Barnet 013F,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000233,Barnet 013F,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000233,Barnet 013F,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000233,Barnet 013F,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000233,Barnet 013F,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01000233,Barnet 013F,15,Economically inactive: Retired,248
E01000233,Barnet 013F,16,Economically inactive: Student,86
E01000233,Barnet 013F,17,Economically inactive: Looking after home or family,59
E01000233,Barnet 013F,18,Economically inactive: Long-term sick or disabled,24
E01000233,Barnet 013F,19,Economically inactive: Other,51
E01000234,Barnet 021D,-8,Does not apply,420
E01000234,Barnet 021D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,164
E01000234,Barnet 021D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,483
E01000234,Barnet 021D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000234,Barnet 021D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,40
E01000234,Barnet 021D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,92
E01000234,Barnet 021D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,112
E01000234,Barnet 021D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,39
E01000234,Barnet 021D,8,Economically active and a full-time student: In employment: Employee: Part-time,10
E01000234,Barnet 021D,9,Economically active and a full-time student: In employment: Employee: Full-time,6
E01000234,Barnet 021D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000234,Barnet 021D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000234,Barnet 021D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000234,Barnet 021D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000234,Barnet 021D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01000234,Barnet 021D,15,Economically inactive: Retired,206
E01000234,Barnet 021D,16,Economically inactive: Student,66
E01000234,Barnet 021D,17,Economically inactive: Looking after home or family,75
E01000234,Barnet 021D,18,Economically inactive: Long-term sick or disabled,18
E01000234,Barnet 021D,19,Economically inactive: Other,35
E01000235,Barnet 021E,-8,Does not apply,362
E01000235,Barnet 021E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,184
E01000235,Barnet 021E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,451
E01000235,Barnet 021E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,12
E01000235,Barnet 021E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,25
E01000235,Barnet 021E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,70
E01000235,Barnet 021E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,94
E01000235,Barnet 021E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,52
E01000235,Barnet 021E,8,Economically active and a full-time student: In employment: Employee: Part-time,26
E01000235,Barnet 021E,9,Economically active and a full-time student: In employment: Employee: Full-time,16
E01000235,Barnet 021E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000235,Barnet 021E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,3
E01000235,Barnet 021E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000235,Barnet 021E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000235,Barnet 021E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,14
E01000235,Barnet 021E,15,Economically inactive: Retired,165
E01000235,Barnet 021E,16,Economically inactive: Student,144
E01000235,Barnet 021E,17,Economically inactive: Looking after home or family,93
E01000235,Barnet 021E,18,Economically inactive: Long-term sick or disabled,60
E01000235,Barnet 021E,19,Economically inactive: Other,84
E01000236,Barnet 034A,-8,Does not apply,554
E01000236,Barnet 034A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,203
E01000236,Barnet 034A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,370
E01000236,Barnet 034A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000236,Barnet 034A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,46
E01000236,Barnet 034A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,77
E01000236,Barnet 034A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,94
E01000236,Barnet 034A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,43
E01000236,Barnet 034A,8,Economically active and a full-time student: In employment: Employee: Part-time,25
E01000236,Barnet 034A,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000236,Barnet 034A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000236,Barnet 034A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000236,Barnet 034A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000236,Barnet 034A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000236,Barnet 034A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01000236,Barnet 034A,15,Economically inactive: Retired,140
E01000236,Barnet 034A,16,Economically inactive: Student,140
E01000236,Barnet 034A,17,Economically inactive: Looking after home or family,113
E01000236,Barnet 034A,18,Economically inactive: Long-term sick or disabled,46
E01000236,Barnet 034A,19,Economically inactive: Other,74
E01000237,Barnet 032A,-8,Does not apply,446
E01000237,Barnet 032A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,163
E01000237,Barnet 032A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,533
E01000237,Barnet 032A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,14
E01000237,Barnet 032A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,44
E01000237,Barnet 032A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,106
E01000237,Barnet 032A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,126
E01000237,Barnet 032A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,89
E01000237,Barnet 032A,8,Economically active and a full-time student: In employment: Employee: Part-time,41
E01000237,Barnet 032A,9,Economically active and a full-time student: In employment: Employee: Full-time,16
E01000237,Barnet 032A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000237,Barnet 032A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,4
E01000237,Barnet 032A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,8
E01000237,Barnet 032A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,18
E01000237,Barnet 032A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10
E01000237,Barnet 032A,15,Economically inactive: Retired,130
E01000237,Barnet 032A,16,Economically inactive: Student,161
E01000237,Barnet 032A,17,Economically inactive: Looking after home or family,97
E01000237,Barnet 032A,18,Economically inactive: Long-term sick or disabled,27
E01000237,Barnet 032A,19,Economically inactive: Other,69
E01000238,Barnet 034B,-8,Does not apply,579
E01000238,Barnet 034B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,196
E01000238,Barnet 034B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,389
E01000238,Barnet 034B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,16
E01000238,Barnet 034B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,41
E01000238,Barnet 034B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,94
E01000238,Barnet 034B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,121
E01000238,Barnet 034B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,61
E01000238,Barnet 034B,8,Economically active and a full-time student: In employment: Employee: Part-time,37
E01000238,Barnet 034B,9,Economically active and a full-time student: In employment: Employee: Full-time,8
E01000238,Barnet 034B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000238,Barnet 034B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000238,Barnet 034B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,6
E01000238,Barnet 034B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000238,Barnet 034B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,15
E01000238,Barnet 034B,15,Economically inactive: Retired,146
E01000238,Barnet 034B,16,Economically inactive: Student,178
E01000238,Barnet 034B,17,Economically inactive: Looking after home or family,100
E01000238,Barnet 034B,18,Economically inactive: Long-term sick or disabled,44
E01000238,Barnet 034B,19,Economically inactive: Other,62
E01000239,Barnet 031A,-8,Does not apply,359
E01000239,Barnet 031A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,181
E01000239,Barnet 031A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,518
E01000239,Barnet 031A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000239,Barnet 031A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,25
E01000239,Barnet 031A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,103
E01000239,Barnet 031A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,123
E01000239,Barnet 031A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,63
E01000239,Barnet 031A,8,Economically active and a full-time student: In employment: Employee: Part-time,35
E01000239,Barnet 031A,9,Economically active and a full-time student: In employment: Employee: Full-time,12
E01000239,Barnet 031A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000239,Barnet 031A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000239,Barnet 031A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000239,Barnet 031A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,8
E01000239,Barnet 031A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E01000239,Barnet 031A,15,Economically inactive: Retired,142
E01000239,Barnet 031A,16,Economically inactive: Student,132
E01000239,Barnet 031A,17,Economically inactive: Looking after home or family,104
E01000239,Barnet 031A,18,Economically inactive: Long-term sick or disabled,126
E01000239,Barnet 031A,19,Economically inactive: Other,84
E01000240,Barnet 031B,-8,Does not apply,298
E01000240,Barnet 031B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,135
E01000240,Barnet 031B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,390
E01000240,Barnet 031B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000240,Barnet 031B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,32
E01000240,Barnet 031B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,93
E01000240,Barnet 031B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,153
E01000240,Barnet 031B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,40
E01000240,Barnet 031B,8,Economically active and a full-time student: In employment: Employee: Part-time,31
E01000240,Barnet 031B,9,Economically active and a full-time student: In employment: Employee: Full-time,11
E01000240,Barnet 031B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000240,Barnet 031B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000240,Barnet 031B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,6
E01000240,Barnet 031B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000240,Barnet 031B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01000240,Barnet 031B,15,Economically inactive: Retired,207
E01000240,Barnet 031B,16,Economically inactive: Student,91
E01000240,Barnet 031B,17,Economically inactive: Looking after home or family,86
E01000240,Barnet 031B,18,Economically inactive: Long-term sick or disabled,38
E01000240,Barnet 031B,19,Economically inactive: Other,107
E01000241,Barnet 031C,-8,Does not apply,354
E01000241,Barnet 031C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,143
E01000241,Barnet 031C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,438
E01000241,Barnet 031C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000241,Barnet 031C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,33
E01000241,Barnet 031C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,118
E01000241,Barnet 031C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,114
E01000241,Barnet 031C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,32
E01000241,Barnet 031C,8,Economically active and a full-time student: In employment: Employee: Part-time,25
E01000241,Barnet 031C,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000241,Barnet 031C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000241,Barnet 031C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000241,Barnet 031C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,4
E01000241,Barnet 031C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000241,Barnet 031C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,22
E01000241,Barnet 031C,15,Economically inactive: Retired,192
E01000241,Barnet 031C,16,Economically inactive: Student,116
E01000241,Barnet 031C,17,Economically inactive: Looking after home or family,87
E01000241,Barnet 031C,18,Economically inactive: Long-term sick or disabled,34
E01000241,Barnet 031C,19,Economically inactive: Other,56
E01000242,Barnet 032B,-8,Does not apply,387
E01000242,Barnet 032B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,145
E01000242,Barnet 032B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,311
E01000242,Barnet 032B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,18
E01000242,Barnet 032B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,42
E01000242,Barnet 032B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,82
E01000242,Barnet 032B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,61
E01000242,Barnet 032B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E01000242,Barnet 032B,8,Economically active and a full-time student: In employment: Employee: Part-time,14
E01000242,Barnet 032B,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000242,Barnet 032B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000242,Barnet 032B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000242,Barnet 032B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000242,Barnet 032B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000242,Barnet 032B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,12
E01000242,Barnet 032B,15,Economically inactive: Retired,219
E01000242,Barnet 032B,16,Economically inactive: Student,102
E01000242,Barnet 032B,17,Economically inactive: Looking after home or family,76
E01000242,Barnet 032B,18,Economically inactive: Long-term sick or disabled,25
E01000242,Barnet 032B,19,Economically inactive: Other,67
E01000243,Barnet 032C,-8,Does not apply,423
E01000243,Barnet 032C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,216
E01000243,Barnet 032C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,539
E01000243,Barnet 032C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,23
E01000243,Barnet 032C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,20
E01000243,Barnet 032C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,108
E01000243,Barnet 032C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,117
E01000243,Barnet 032C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,74
E01000243,Barnet 032C,8,Economically active and a full-time student: In employment: Employee: Part-time,50
E01000243,Barnet 032C,9,Economically active and a full-time student: In employment: Employee: Full-time,19
E01000243,Barnet 032C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000243,Barnet 032C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E01000243,Barnet 032C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,8
E01000243,Barnet 032C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000243,Barnet 032C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,36
E01000243,Barnet 032C,15,Economically inactive: Retired,187
E01000243,Barnet 032C,16,Economically inactive: Student,147
E01000243,Barnet 032C,17,Economically inactive: Looking after home or family,89
E01000243,Barnet 032C,18,Economically inactive: Long-term sick or disabled,44
E01000243,Barnet 032C,19,Economically inactive: Other,58
E01000244,Barnet 032D,-8,Does not apply,260
E01000244,Barnet 032D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,142
E01000244,Barnet 032D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,377
E01000244,Barnet 032D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000244,Barnet 032D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01000244,Barnet 032D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,79
E01000244,Barnet 032D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,105
E01000244,Barnet 032D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,57
E01000244,Barnet 032D,8,Economically active and a full-time student: In employment: Employee: Part-time,53
